bekwaam	incompetent/ongelijk/onbekwaam
jong	gaga/grijs/witharig/honderdjarige/hees/ouder/anile/emeritus/leeftijd/seniel/oud/grizzly/grijshaar/veroudering/middelbare/senior/grijsharige/ouderen/verduisterd/ontwijken
klein	uitgestrekt/enorm/reusachtig/immens/gigantisch
kleurrijk	etiolaat/gewassen/gewit/somber/bleek/uitgewassen/saai/geëtst/neutraal/kleurloos/wit/luguber/gebleekt/afgestompt/dof/vervaagd/was/wasachtig/vergrijsd
klonterig	zelfs/niveau/plat/vlak
kort	slungelachtig/lang/hoogte/langbenig/rangy/gangling/langgroeiend/statig/slungelig
koud	vlammend/roodgloeiend/witgloeiend/verwarmd/heet/verzengend/vurig/sensueel/sissend/zwoel
lang	pint-maat/ingekort/gedrongen/compact/dik/afgeknot/telescopisch/geknipt/vluchtig/kortlopend/kortstondig/verkort/stompe/truncate/kort/afgekort/dichtbij/runty/afgeknotte/squabby/squab/afgezaagd
langzaam	prompt/haasten/direct/versneld/onmiddellijk/samentrekkend/alacritisch/pittig/roodgloeiend/vloot/gevleugeld/meteoor/heet/snel/blaarvorming/momentaan/express
luidruchtig	dom/niet-communicatief/niet-gearticuleerd/stil/stom
mooi	scrofulous/misvormd/monsterlijk/lelijk/afschuwelijk/onpicturesque/ongelukkig/weerzinwekkend/onhandig/onaantrekkelijk/grotesk/onaangenaam/slecht
normaal	defect/grillig/onnatuurlijk/onregelmatig/pervers/subnormaal/supernormaal/plaatsvervangend/atypisch/brachydactylisch/brachydactylous/ongebruikelijk/kinky/abnormaal/antidromisch/krankzinnig/afwijkend/uitzonderlijk
oprecht	buttery/meretricious/obsequious/onwerkelijk/plausible/contious/fulsome/feigned/hypocritical/toadyish/dishoniouson/smarmy/namaak/bootlicking/false/oleaginous/olily/sycophantic/unctuous/fawning/gilded/listig/vals/onoprecht/dissimulative/soapy
overvloedig	mager/onvoldoende/deficiënt/gierig/schaars/krap/zeldzaam
rauw	gekookt/vers/halfgebakken/natuurlijk/geroosterd/ongekookt/gaar/zeldzaam
rijk	verarmd/noodzakelijk/buste/brak/onbarmhartig/arm/geldloos/behoeftig/huidskleur/geknepen/berooid
saai	intrigerend/inspirerend/bedwelmend/spannend/oogverblindend/arresterend/stimulerend/opwindend/opwekkend/provocerend/bewegend
schoon	vettig/scummy/cobwebby/smudgy/onrein/modderig/snotterig/ratachtig/belabberd/feculent/roetig/gesleept/bedorven/reisbevlekt/buggy/zwart/ongewassen/maculaat/smerig/reisbevuild/bevuild/vies/olieachtig/vervuild/groezelig/snotneus/verfomfaaid/flyblown/vuil/ordinair/augean/grungy
smakelijk	flauw/plat/ongekruid/vapid/smaakloos/onsmakelijk/smakeloos/ongezouten
strak	vrij/liberaal/baggy/loszittend/laks/onofficieel/luchtig/los/informeel/slordig
vaak	buitengewoon/soms/schaars/zeldzaam
vertrouwd	onbekend/vreemd
volledig	leeg/kaal/wit/geplunderd/gestript/schoon/geglazuurd/glasachtig/levenloos
warm	ijskoud/ijzig/kil/koud/koel
wit	donker/zwart/lichtloos
